,created_at,PM1.0_ATM_ug/m3,PM2.5_ATM_ug/m3,PM10.0_ATM_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,>=0.3um/dl,>=0.5um/dl,>=1.0um/dl,>=2.5um/dl,>=5.0um/dl,>=10.0um/dl,PM1.0_ATM_B_ug/m3,PM2.5_ATM_B_ug/m3,PM10.0_ATM_B_ug/m3,UptimeMinutes_B,ADC,Pressure_hpa,PM1.0_CF1_B_ug/m3,PM2.5_CF1_B_ug/m3,PM10.0_CF1_B_ug/m3,>=0.3_B_um/dl,>=0.5_B_um/dl,>=1.0_B_um/dl,>=2.5_B_um/dl,>=5.0_B_um/dl,>=10.0_B_um/dl
376,2022-04-07 12:34:00+00:00,0.95,2.05,3.73,69485,-68,68,27,0.95,2.05,3.73,395.35,112.2,22.55,3.56,2.22,1.35,1.31,3.12,3.95,22608,0.03,960.03,1.31,3.12,3.95,433.97,124.93,24.07,5.66,0.79,0.79
377,2022-04-07 12:36:00+00:00,2.07,3.03,4.48,69605,-68,68,27,2.07,3.03,4.48,533.9,152.22,24.67,4.03,1.31,0.86,2.09,4.43,7.16,23448,0.03,960.16,2.09,4.43,7.16,560.36,156.5,37.61,8.21,3.46,2.25
378,2022-04-07 12:38:00+00:00,1.74,3.21,4.93,69725,-68,68,28,1.74,3.21,4.93,502.55,144.26,27.72,4.69,2.14,1.69,1.89,3.55,5.6,23448,0.03,960.22,1.89,3.55,5.6,524.07,147.27,25.96,6.15,2.22,2.22
379,2022-04-07 12:40:00+00:00,1.42,2.75,3.76,69845,-68,68,28,1.42,2.75,3.76,451.36,127.71,26.55,3.24,1.13,0.87,2.1,3.9,4.85,21992,0.03,960.25,2.1,3.9,4.85,583.73,157.97,28.31,3.83,1.22,1.22
380,2022-04-07 12:42:00+00:00,2.2,3.96,6.8,69965,-68,68,28,2.2,3.96,6.8,591.05,168.2,34.84,6.29,3.05,2.8,2.41,4.31,6.5,21992,0.03,960.4,2.41,4.31,6.5,665.9,178.17,31.34,6.55,2.72,1.69
381,2022-04-07 12:44:00+00:00,2.4,3.9,4.9,70085,-68,68,28,2.4,3.9,4.9,583.71,159.72,29.21,4.03,0.83,0.83,2.02,3.82,6.23,21992,0.03,960.34,2.02,3.82,6.23,616.29,160.82,27.32,7.25,3.11,1.61
382,2022-04-07 12:46:00+00:00,2.37,4.0,6.78,70205,-68,68,28,2.37,4.0,6.78,614.14,167.95,32.44,7.36,3.12,3.12,2.56,3.93,5.78,21704,0.03,960.42,2.56,3.93,5.78,648.76,176.29,28.22,3.45,2.36,1.31
383,2022-04-07 12:48:00+00:00,1.91,3.38,4.59,70325,-68,68,28,1.91,3.38,4.59,543.16,150.21,28.18,4.29,0.79,0.79,2.08,3.86,5.15,21704,0.03,960.41,2.08,3.86,5.15,610.78,166.27,35.46,4.27,1.49,0.41
384,2022-04-07 12:50:00+00:00,2.29,4.22,5.42,70445,-68,67,28,2.29,4.22,5.42,650.69,167.41,35.15,4.98,1.02,1.02,2.45,4.16,5.5,21992,0.03,960.44,2.45,4.16,5.5,612.54,167.18,31.29,4.96,1.71,1.36
385,2022-04-07 12:52:00+00:00,3.31,5.05,7.09,70565,-68,67,28,3.31,5.05,7.09,720.0,197.21,40.26,6.55,1.93,1.93,2.45,4.58,6.22,21992,0.03,960.46,2.45,4.58,6.22,672.0,179.16,36.04,5.05,2.15,1.64
386,2022-04-07 12:53:00+00:00,2.53,4.58,9.21,116,0,68,28,2.53,4.58,9.21,686.16,189.35,37.09,11.26,5.4,4.37,3.22,5.53,6.65,36320,,960.49,3.22,5.53,6.65,779.1,199.95,34.25,7.65,1.5,1.00
387,2022-04-07 12:55:00+00:00,2.66,4.54,7.93,236,0,68,28,2.66,4.54,7.93,717.96,194.96,32.79,6.89,4.5,3.71,3.0,5.44,7.3,36232,0.03,960.55,3.0,5.44,7.3,729.79,204.84,36.81,7.47,2.25,2.25
388,2022-04-07 12:57:00+00:00,1.79,3.76,5.12,356,0,67,28,1.79,3.76,5.12,565.97,161.17,32.21,5.79,1.48,1.48,1.89,2.98,4.66,36232,0.03,960.63,1.89,2.98,4.66,576.23,158.49,27.85,3.66,1.74,1.74
389,2022-04-07 12:59:00+00:00,1.39,2.96,5.98,476,0,68,28,1.39,2.96,5.98,515.04,145.86,32.86,6.54,3.57,2.36,1.9,3.4,5.12,36520,0.03,960.61,1.9,3.4,5.12,533.59,148.86,23.48,3.55,2.0,2.00
390,2022-04-07 13:01:00+00:00,1.82,2.95,4.15,596,0,65,28,1.82,2.95,4.15,490.2,142.35,26.95,2.65,1.38,1.38,1.74,3.74,4.35,36520,0.03,958.63,1.74,3.74,4.35,528.53,147.79,27.93,4.53,0.95,0.95
391,2022-04-07 13:03:00+00:00,1.12,2.25,3.27,716,0,65,27,1.12,2.25,3.27,375.71,105.53,22.36,2.85,1.25,1.25,0.96,2.22,2.75,36520,0.03,958.57,0.96,2.22,2.75,423.71,112.95,17.35,2.33,0.62,0.62
392,2022-04-07 13:05:00+00:00,1.73,3.59,4.85,836,0,69,27,1.73,3.59,4.85,535.42,145.22,32.51,4.95,1.66,0.81,2.49,4.47,6.04,36520,0.03,960.78,2.49,4.47,6.04,700.8,185.38,38.95,4.44,1.85,0.91
393,2022-04-07 13:07:00+00:00,1.39,3.02,4.55,956,0,65,27,1.39,3.02,4.55,490.61,138.45,22.23,4.93,2.18,1.82,1.93,3.39,4.81,36520,0.03,958.4,1.93,3.39,4.81,570.71,150.07,28.37,5.22,1.8,0.88
394,2022-04-07 13:09:00+00:00,1.27,2.32,3.5,1076,0,68,26,1.27,2.32,3.5,383.09,108.96,24.36,3.57,1.18,1.18,1.38,2.31,3.09,36520,0.03,959.82,1.38,2.31,3.09,503.59,129.97,18.38,2.03,1.0,0.48
395,2022-04-07 13:11:00+00:00,0.86,2.07,4.04,1196,0,69,26,0.86,2.07,4.04,395.11,110.42,21.58,4.28,2.11,2.11,1.73,3.18,5.49,36520,0.03,960.96,1.73,3.18,5.49,464.95,130.47,26.47,5.38,2.36,2.15
396,2022-04-07 13:13:00+00:00,1.19,2.26,6.33,116,0,69,26,1.19,2.26,6.33,410.5,113.71,22.81,8.1,4.95,4.95,1.62,2.92,4.15,36656,,960.9,1.62,2.92,4.15,524.85,132.8,20.65,3.2,1.75,0.75
397,2022-04-07 13:15:00+00:00,1.47,3.36,4.85,236,0,69,26,1.47,3.36,4.85,486.76,145.07,25.58,6.33,1.53,1.53,1.32,3.09,4.54,36504,0.03,961.0,1.32,3.09,4.54,548.32,126.11,22.18,5.37,2.07,1.68
398,2022-04-07 13:17:00+00:00,1.69,3.14,4.59,356,0,69,26,1.69,3.14,4.59,535.02,145.17,29.15,3.83,1.93,1.53,2.31,3.84,5.78,36504,0.03,960.98,2.31,3.84,5.78,647.13,169.09,23.78,4.84,2.69,1.67
399,2022-04-07 13:19:00+00:00,1.55,2.78,4.14,476,0,69,26,1.55,2.78,4.14,451.76,126.1,24.72,4.21,1.28,0.86,1.48,2.55,4.23,36504,0.03,961.02,1.48,2.55,4.23,563.46,125.43,22.89,4.86,2.36,0.89
400,2022-04-07 13:21:00+00:00,1.55,2.59,3.86,596,0,69,25,1.55,2.59,3.86,451.55,128.55,22.2,2.89,1.54,1.54,1.54,3.69,4.69,36504,0.03,961.12,1.54,3.69,4.69,634.27,146.98,29.46,7.56,0.98,0.61
401,2022-04-07 13:23:00+00:00,1.49,2.78,5.27,716,0,69,25,1.49,2.78,5.27,437.35,123.15,31.27,5.2,2.76,2.29,1.4,2.74,4.03,36504,0.03,961.2,1.4,2.74,4.03,462.0,120.28,17.76,5.14,1.45,1.45
402,2022-04-07 13:25:00+00:00,1.05,2.11,3.0,836,0,66,25,1.05,2.11,3.0,317.74,93.02,19.47,2.81,0.91,0.91,1.32,2.7,2.79,36504,0.03,958.66,1.32,2.7,2.79,473.79,112.43,22.04,2.71,0.18,0.18
403,2022-04-07 13:27:00+00:00,1.11,2.04,2.98,956,0,69,25,1.11,2.04,2.98,345.47,95.68,20.23,2.53,0.84,0.84,0.7,1.36,1.36,36504,0.03,961.3,0.7,1.36,1.36,355.13,95.7,12.57,0.53,0.0,0.00
404,2022-04-07 13:29:00+00:00,1.14,2.47,3.55,1076,0,70,25,1.14,2.47,3.55,369.26,103.07,21.43,3.83,1.24,0.83,0.88,1.65,1.98,36504,0.03,961.42,0.88,1.65,1.98,380.74,97.12,14.53,1.26,0.42,0.42
405,2022-04-07 13:31:00+00:00,1.05,2.36,3.39,1196,0,69,24,1.05,2.36,3.39,369.38,106.91,21.68,3.07,1.36,1.36,1.72,2.9,3.93,36504,0.03,961.46,1.72,2.9,3.93,519.52,133.31,16.69,3.28,1.38,1.38
406,2022-04-07 13:33:00+00:00,0.8,1.68,3.68,116,0,69,24,0.8,1.68,3.68,341.05,99.1,16.78,4.29,2.24,2.24,1.38,2.46,2.87,36656,,961.5,1.38,2.46,2.87,543.23,131.03,21.18,1.79,0.51,0.51
407,2022-04-07 13:35:00+00:00,0.67,1.8,2.65,236,0,70,24,0.67,1.8,2.65,304.85,84.84,17.53,3.13,1.13,0.73,0.76,1.43,1.97,36568,0.03,961.53,0.76,1.43,1.97,397.24,102.48,14.62,2.48,0.38,0.38
408,2022-04-07 13:37:00+00:00,0.73,1.39,2.81,356,0,70,24,0.73,1.39,2.81,372.0,99.78,15.05,3.02,2.03,1.63,1.12,2.34,3.48,36568,0.03,961.51,1.12,2.34,3.48,436.82,122.11,21.07,4.25,1.39,0.75
409,2022-04-07 13:39:00+00:00,0.41,1.5,1.76,476,0,70,24,0.41,1.5,1.76,325.66,93.47,19.38,1.14,0.45,0.1,0.82,1.61,2.68,36504,0.03,961.61,0.82,1.61,2.68,331.71,86.0,13.89,2.96,1.75,0.36
410,2022-04-07 13:41:00+00:00,0.66,1.8,1.84,596,0,71,24,0.66,1.8,1.84,319.55,84.05,16.29,3.11,0.0,0.0,0.9,2.67,3.45,36504,0.03,961.61,0.9,2.67,3.45,406.34,109.38,23.24,6.45,0.76,0.59
411,2022-04-07 13:43:00+00:00,0.56,1.86,2.74,716,0,70,23,0.56,1.86,2.74,304.16,85.47,20.74,4.21,1.16,1.12,0.75,1.54,2.32,36504,0.03,961.68,0.75,1.54,2.32,332.0,90.0,15.89,3.19,0.88,0.88
412,2022-04-07 13:45:00+00:00,0.82,1.81,2.39,836,0,69,24,0.82,1.81,2.39,311.79,89.26,19.96,1.72,0.81,0.49,0.68,1.51,2.12,36504,0.03,960.42,0.68,1.51,2.12,364.42,86.95,16.11,2.21,0.91,0.39
413,2022-04-07 13:47:00+00:00,0.53,1.67,2.53,956,0,70,23,0.53,1.67,2.53,271.26,74.7,18.0,4.25,1.09,1.09,0.48,1.21,1.55,36504,0.03,961.68,0.48,1.21,1.55,328.61,74.89,12.89,1.61,0.54,0.54
414,2022-04-07 13:49:00+00:00,1.05,2.52,4.79,1076,0,71,23,1.05,2.52,4.79,411.59,114.2,23.93,5.5,3.14,2.68,0.82,2.04,3.96,36504,0.03,961.72,0.82,2.04,3.96,463.89,118.81,22.77,4.56,2.32,1.47
415,2022-04-07 13:51:00+00:00,1.02,1.89,2.81,1196,0,71,23,1.02,1.89,2.81,345.67,95.98,15.11,2.59,0.93,0.93,0.79,1.69,2.36,36504,0.03,961.75,0.79,1.69,2.36,385.45,94.28,15.55,2.83,0.83,0.38
416,2022-04-07 13:53:00+00:00,0.36,0.88,1.95,116,0,70,23,0.36,0.88,1.95,246.71,70.29,12.29,1.48,1.0,1.0,1.0,2.03,2.58,36656,,961.74,1.0,2.03,2.58,469.8,96.0,14.0,1.4,0.6,0.60
417,2022-04-07 13:55:00+00:00,0.71,1.2,2.68,236,0,70,23,0.71,1.2,2.68,254.41,74.95,15.14,2.93,1.54,1.21,0.84,1.77,2.89,36568,0.03,961.79,0.84,1.77,2.89,406.53,91.26,14.21,3.68,1.47,1.02
418,2022-04-07 13:57:00+00:00,0.47,1.05,2.39,356,0,70,24,0.47,1.05,2.39,278.34,74.47,14.44,2.68,1.69,0.92,0.91,1.73,2.13,36568,0.03,961.79,0.91,1.73,2.13,363.71,93.2,17.24,2.0,0.76,0.00
419,2022-04-07 13:59:00+00:00,0.53,1.18,1.77,476,0,70,24,0.53,1.18,1.77,272.63,76.84,15.4,1.79,0.63,0.49,1.3,2.07,2.7,36568,0.03,961.86,1.3,2.07,2.7,425.36,104.82,14.21,2.11,0.5,0.46
420,2022-04-07 14:01:00+00:00,0.59,1.32,2.88,596,0,70,24,0.59,1.32,2.88,336.16,87.48,18.57,3.07,1.75,1.57,0.74,1.12,1.63,36568,0.03,961.89,0.74,1.12,1.63,331.26,82.0,8.46,1.23,0.53,0.53
421,2022-04-07 14:03:00+00:00,0.22,1.4,1.96,716,0,70,24,0.22,1.4,1.96,263.18,74.07,15.75,2.8,0.95,0.51,0.71,1.41,2.55,36504,0.03,962.04,0.71,1.41,2.55,346.86,84.72,16.72,2.76,1.72,0.86
422,2022-04-07 14:05:00+00:00,0.6,1.02,2.07,836,0,70,24,0.6,1.02,2.07,250.11,69.81,13.93,1.86,0.98,0.98,0.7,1.77,2.45,36504,0.03,961.97,0.7,1.77,2.45,364.39,89.14,17.0,1.57,0.79,0.79
423,2022-04-07 14:07:00+00:00,0.68,1.14,2.4,956,0,70,23,0.68,1.14,2.4,315.26,86.46,18.23,1.75,1.44,1.44,0.53,1.49,3.16,36504,0.03,962.01,0.53,1.49,3.16,356.51,92.76,17.02,4.4,1.71,1.71
424,2022-04-07 14:09:00+00:00,0.89,1.43,1.43,1076,0,69,23,0.89,1.43,1.43,288.8,84.2,11.43,0.14,0.0,0.0,0.56,1.39,2.67,36504,0.03,962.18,0.56,1.39,2.67,343.47,89.72,17.16,2.91,1.75,1.23
425,2022-04-07 14:11:00+00:00,0.38,1.18,2.6,1196,0,70,23,0.38,1.18,2.6,267.6,76.55,15.78,2.87,1.64,1.64,0.75,1.69,2.97,36504,0.03,962.26,0.75,1.69,2.97,474.1,100.78,17.63,3.76,1.97,0.71
426,2022-04-07 14:13:00+00:00,1.12,2.27,3.44,116,0,70,23,1.12,2.27,3.44,397.1,108.54,16.93,4.05,1.66,1.66,1.1,1.9,2.38,36656,,962.27,1.1,1.9,2.38,471.6,96.9,13.75,2.2,0.9,0.30
427,2022-04-07 14:15:00+00:00,0.33,0.82,1.76,236,0,70,23,0.33,0.82,1.76,236.78,61.56,12.18,1.96,1.31,0.95,0.46,1.31,2.34,36504,0.03,962.28,0.46,1.31,2.34,308.24,82.0,18.95,2.85,1.29,1.29
428,2022-04-07 14:17:00+00:00,0.4,1.03,2.95,356,0,70,23,0.4,1.03,2.95,281.65,75.0,13.83,4.37,2.33,2.23,0.8,1.64,1.96,35936,0.03,962.37,0.8,1.64,1.96,294.86,80.82,13.18,2.64,0.36,0.36
429,2022-04-07 14:19:00+00:00,0.24,0.88,1.93,476,0,70,22,0.24,0.88,1.93,222.97,62.25,13.05,2.51,1.22,0.88,0.04,0.7,1.11,36128,0.03,962.37,0.04,0.7,1.11,265.5,58.25,12.82,1.43,0.46,0.00
430,2022-04-07 14:21:00+00:00,0.26,1.91,2.58,596,0,70,22,0.26,1.91,2.58,277.13,75.72,18.83,6.3,0.94,0.94,0.34,1.02,1.5,36128,0.03,962.48,0.34,1.02,1.5,305.36,70.75,9.43,2.5,0.5,0.50
431,2022-04-07 14:23:00+00:00,0.51,0.88,2.84,716,0,70,23,0.51,0.88,2.84,263.37,75.96,16.6,2.98,2.11,2.11,0.75,1.53,1.96,35792,0.03,962.42,0.75,1.53,1.96,331.79,81.75,14.42,2.46,0.39,0.39
432,2022-04-07 14:25:00+00:00,0.41,0.85,2.11,836,0,70,22,0.41,0.85,2.11,243.25,68.34,16.56,2.3,1.51,1.51,0.2,1.17,1.94,35792,0.03,962.49,0.2,1.17,1.94,272.0,76.74,17.48,2.63,1.0,0.59
433,2022-04-07 14:27:00+00:00,0.46,1.05,1.23,956,0,71,21,0.46,1.05,1.23,270.26,76.49,11.44,1.19,0.18,0.18,0.36,1.14,1.64,36080,0.03,962.42,0.36,1.14,1.64,258.52,68.62,14.14,1.66,0.41,0.41
434,2022-04-07 14:29:00+00:00,0.34,1.09,2.38,1076,0,71,22,0.34,1.09,2.38,245.46,70.32,14.14,3.71,1.32,1.32,0.46,0.95,0.95,36080,0.03,962.52,0.46,0.95,0.95,271.26,71.58,10.56,0.98,0.0,0.00
435,2022-04-07 14:31:00+00:00,0.33,0.71,1.33,1196,0,71,21,0.33,0.71,1.33,229.34,64.26,14.1,1.14,0.17,0.17,0.52,1.16,2.5,36080,0.03,962.53,0.52,1.16,2.5,312.43,71.89,11.71,4.04,1.79,0.96
436,2022-04-07 14:33:00+00:00,0.32,0.95,2.05,115,0,71,21,0.32,0.95,2.05,255.0,70.17,13.71,2.49,1.51,1.51,0.26,1.0,3.08,36656,,962.58,0.26,1.0,3.08,326.31,80.21,16.05,4.21,2.51,2.51
437,2022-04-07 14:35:00+00:00,0.69,1.4,1.76,235,0,70,21,0.69,1.4,1.76,287.62,76.31,13.67,1.71,0.44,0.44,0.29,0.95,1.36,36568,0.03,962.48,0.29,0.95,1.36,243.0,66.83,8.86,1.0,0.48,0.48
438,2022-04-07 14:37:00+00:00,0.38,0.86,2.53,355,0,71,21,0.38,0.86,2.53,228.21,64.59,15.28,3.1,2.31,1.41,0.5,1.29,2.3,36568,0.03,962.58,0.5,1.29,2.3,363.75,84.61,14.61,3.14,1.43,0.93
